data,model,roc_auc_score,f1_score,pr_auc_score,balanced_accuracy_score
2020,CatBoostClassifier,0.8433346727927207,0.3418884664131812,0.3510545302568115,0.7664086849439846
2022,CatBoostClassifier,0.8533644788392076,0.3673785405510033,0.3836160695808777,0.776478360530089
merged,CatBoostClassifier,0.8373789861181673,0.3443269908386187,0.3419250040461593,0.7595204857526182
2020,LogisticRegression,0.8394528026573562,0.3471429752749524,0.3418661895017583,0.7636030965595468
2022,LogisticRegression,0.8512481391812247,0.3728157929838602,0.3800935272633563,0.775545991775719
merged,LogisticRegression,0.8327774066840183,0.3475002755023326,0.3403764361818513,0.7547543906196361
2020,RandomForestClassifier,0.8393185812942191,0.3562696472231924,0.3359331391724177,0.7626956307593167
2022,RandomForestClassifier,0.8478364521276628,0.3774351786965662,0.3637211248961652,0.7698729574341745
merged,RandomForestClassifier,0.8350595400275327,0.352980801616706,0.3386735176840036,0.7574544954163691
