data,feature,importances
merged,AgeCategory,42.8164543428519
merged,GeneralHealth,20.01114489539366
merged,Sex,8.20738585341679
merged,HadStroke,4.110222662701614
merged,HadDiabetes,3.6331879505056035
merged,BMI,3.0389178538814328
merged,DifficultyWalking,2.7015239867128478
merged,RaceEthnicityCategory,2.6575273875862377
merged,SmokerStatus,2.2956476597967175
merged,PhysicalHealthDays,2.2665634320898764
merged,SleepHours,2.114610274098004
merged,MentalHealthDays,1.33791716692913
merged,HadKidneyDisease,1.3218329918256122
merged,HadAsthma,1.187562213112664
merged,AlcoholDrinkers,0.9331172368187078
merged,HadSkinCancer,0.492870955983172
merged,Year,0.45514880562744164
merged,PhysicalActivities,0.4183643306685271
